areas_n,neighborhood_n,room_type_n,price
0.0,0.16363636363636364,0.5,0.4760479041916168
0.25,0.08636363636363636,0.5,0.565868263473054
0.25,0.031818181818181815,0.5,0.7485029940119761
0.25,0.08636363636363636,0.5,0.7155688622754491
0.25,0.22727272727272727,0.5,0.9131736526946108
0.25,0.00909090909090909,0.5,0.4640718562874252
0.25,0.00909090909090909,0.0,0.17964071856287425
0.0,0.07727272727272727,0.0,0.4041916167664671
0.25,0.2318181818181818,0.0,0.3592814371257485
0.25,0.10454545454545454,0.5,0.44910179640718567
0.0,0.09090909090909091,0.5,0.4041916167664671
0.25,0.04090909090909091,0.5,0.7485029940119761
0.25,0.23636363636363636,0.5,0.6736526946107785
0.25,0.00909090909090909,0.0,0.2754491017964072
0.25,0.00909090909090909,0.0,0.5239520958083833
0.25,0.08636363636363636,0.5,0.2964071856287425
0.25,0.03636363636363636,0.5,0.5838323353293413
0.25,0.01818181818181818,0.5,0.4191616766467066
0.25,0.2409090909090909,0.5,0.4041916167664671
0.25,0.04090909090909091,0.0,0.3592814371257485
0.0,0.24545454545454545,0.5,0.19461077844311378
0.0,0.09545454545454544,0.5,0.2964071856287425
0.75,0.25,0.0,0.10778443113772455
0.75,0.25,0.0,0.11077844311377247
0.75,0.25,0.0,0.11077844311377247
0.25,0.08636363636363636,0.5,0.5239520958083833
0.25,0.06363636363636363,0.5,0.6137724550898204
0.0,0.09090909090909091,0.5,0.8532934131736527
0.0,0.05454545454545454,0.0,0.17664670658682635
0.75,0.25,0.0,0.10778443113772455
0.5,0.2545454545454545,0.5,0.2964071856287425
0.0,0.0,0.0,0.11676646706586827
